Data File	C:\Users\GPC\Documents\OmniSEC Data\Salty\2023 01 Jan\2023-02-16_15;04;39_230216_SS_P-SS065_01.vdt
Sample ID	230216 SS P-SS065
Method File Name	202301JanCalibration-0011.vcm
Date Acquired	Feb 16, 2023 - 15:04:39
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	Salty
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	 0.000
Col. Temp (Deg C)	35.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 0.800	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	29.140

Ret. Vol.	 17.12
Mn - (Daltons)	 18325
Mw - (Daltons)	 28032
Mz - (Daltons)	 39177
Mp - (Daltons)	 27717
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	279.15
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted IV - DP	Adjusted IV -  IP	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.55667	15.641	-0.379	294.809	28.85830										
0.56000	15.656	-0.370	294.839	28.85830										
0.56333	15.702	-0.362	294.855	28.85891										
0.56667	15.702	-0.373	294.839	28.85830										
0.57000	15.671	-0.398	294.839	28.85647										
0.57333	15.687	-0.423	294.839	28.85464										
0.57667	15.656	-0.449	294.824	28.85403										
0.58000	15.641	-0.474	294.794	28.85281										
0.58333	15.671	-0.499	294.778	28.85220										
0.58667	15.625	-0.525	294.778	28.85220										
0.59000	15.595	-0.550	294.809	28.85342										
0.59333	15.641	-0.575	294.809	28.85525										
0.59667	15.595	-0.601	294.809	28.85647										
0.60000	15.549	-0.591	294.824	28.85586										
0.60333	15.595	-0.557	294.839	28.85586										
0.60667	15.595	-0.523	294.839	28.85586										
0.61000	15.580	-0.489	294.839	28.85647										
0.61333	15.610	-0.456	294.824	28.85586										
0.61667	15.625	-0.453	294.824	28.85525										
0.62000	15.610	-0.470	294.824	28.85464										
0.62333	15.610	-0.487	294.809	28.85464										
0.62667	15.641	-0.504	294.778	28.85403										
0.63000	15.610	-0.521	294.778	28.85342										
0.63333	15.625	-0.521	294.794	28.85281										
0.63667	15.656	-0.513	294.809	28.85281										
0.64000	15.641	-0.505	294.794	28.85403										
0.64333	15.625	-0.496	294.794	28.85403										
0.64667	15.641	-0.488	294.794	28.85281										
0.65000	15.610	-0.496	294.794	28.85220										
0.65333	15.549	-0.512	294.809	28.85220										
0.65667	15.564	-0.529	294.809	28.85098										
0.66000	15.564	-0.546	294.809	28.84915										
0.66333	15.519	-0.563	294.824	28.84793										
0.66667	15.503	-0.569	294.855	28.84731										
0.67000	15.534	-0.569	294.839	28.84731										
0.67333	15.564	-0.569	294.824	28.84670										
0.67667	15.488	-0.569	294.824	28.84548										
0.68000	15.519	-0.569	294.824	28.84487										
0.68333	15.519	-0.569	294.809	28.84609										
0.68667	15.564	-0.569	294.794	28.84670										
0.69000	15.519	-0.569	294.794	28.84670										
0.69333	15.564	-0.569	294.809	28.84731										
0.69667	15.595	-0.569	294.839	28.84854										
0.70000	15.595	-0.563	294.839	28.84915										
0.70333	15.549	-0.555	294.824	28.84915										
0.70667	15.564	-0.546	294.824	28.84915										
0.71000	15.580	-0.538	294.839	28.84854										
0.71333	15.519	-0.529	294.839	28.84915										
0.71667	15.549	-0.551	294.824	28.84915										
0.72000	15.549	-0.585	294.824	28.84854										
0.72333	15.564	-0.619	294.839	28.84670										
0.72667	15.564	-0.652	294.839	28.84609										
0.73000	15.595	-0.686	294.824	28.84548										
0.73333	15.595	-0.646	294.809	28.84487										
0.73667	15.580	-0.578	294.809	28.84365										
0.74000	15.564	-0.511	294.809	28.84365										
0.74333	15.580	-0.443	294.824	28.84487										
0.74667	15.580	-0.375	294.809	28.84548										
0.75000	15.580	-0.377	294.809	28.84487										
0.75333	15.625	-0.403	294.824	28.84426										
0.75667	15.595	-0.428	294.855	28.84487										
0.76000	15.564	-0.453	294.839	28.84548										
0.76333	15.595	-0.479	294.824	28.84609										
0.76667	15.580	-0.498	294.824	28.84609										
0.77000	15.580	-0.514	294.839	28.84670										
0.77333	15.610	-0.531	294.839	28.84793										
0.77667	15.595	-0.548	294.824	28.84915										
0.78000	15.610	-0.565	294.824	28.84915										
0.78333	15.625	-0.556	294.839	28.85037										
0.78667	15.625	-0.539	294.839	28.85220										
0.79000	15.625	-0.522	294.824	28.85464										
0.79333	15.656	-0.505	294.809	28.85586										
0.79667	15.687	-0.488	294.809	28.85647										
0.80000	15.641	-0.485	294.809	28.85586										
0.80333	15.610	-0.485	294.809	28.85708										
0.80667	15.641	-0.485	294.778	28.85708										
0.81000	15.610	-0.485	294.763	28.85647										
0.81333	15.580	-0.485	294.763	28.85586										
0.81667	15.625	-0.492	294.763	28.85647										
0.82000	15.656	-0.500	294.748	28.85647										
0.82333	15.641	-0.508	294.733	28.85586										
0.82667	15.656	-0.517	294.733	28.85464										
0.83000	15.641	-0.525	294.748	28.85342										
0.83333	15.625	-0.555	294.748	28.85281										
0.83667	15.625	-0.589	294.733	28.85220										
0.84000	15.656	-0.622	294.748	28.85098										
0.84333	15.656	-0.656	294.778	28.84976										
0.84667	15.641	-0.690	294.794	28.84976										
0.85000	15.641	-0.681	294.809	28.85037										
0.85333	15.656	-0.664	294.824	28.84976										
0.85667	15.580	-0.647	294.839	28.84915										
0.86000	15.580	-0.630	294.855	28.84915										
0.86333	15.610	-0.613	294.870	28.84976										
0.86667	15.641	-0.611	294.870	28.84976										
0.87000	15.610	-0.611	294.855	28.84915										
0.87333	15.641	-0.611	294.855	28.84793										
0.87667	15.671	-0.611	294.855	28.84731										
0.88000	15.625	-0.611	294.855	28.84731										
0.88333	15.625	-0.633	294.855	28.84670										
0.88667	15.625	-0.659	294.870	28.84548										
0.89000	15.641	-0.684	294.900	28.84426										
0.89333	15.625	-0.709	294.916	28.84426										
0.89667	15.656	-0.735	294.900	28.84426										
0.90000	15.687	-0.699	294.870	28.84426										
0.90333	15.625	-0.657	294.870	28.84365										
0.90667	15.610	-0.615	294.870	28.84487										
0.91000	15.625	-0.573	294.885	28.84609										
0.91333	15.610	-0.530	294.870	28.84609										
0.91667	15.549	-0.550	294.885	28.84548										
0.92000	15.580	-0.575	294.900	28.84609										
0.92333	15.595	-0.601	294.885	28.84609										
0.92667	15.564	-0.626	294.839	28.84609										
0.93000	15.564	-0.651	294.824	28.84548										
0.93333	15.595	-0.700	294.824	28.84426										
0.93667	15.580	-0.751	294.839	28.84365										
0.94000	15.580	-0.802	294.855	28.84487										
0.94333	15.610	-0.852	294.855	28.84487										
0.94667	15.580	-0.903	294.870	28.84487										
0.95000	15.549	-0.866	294.885	28.84487										
0.95333	15.610	-0.823	294.885	28.84609										
0.95667	15.595	-0.781	294.870	28.84670										
0.96000	15.580	-0.739	294.855	28.84731										
0.96333	15.610	-0.697	294.855	28.84793										
0.96667	15.625	-0.638	294.870	28.84976										
0.97000	15.625	-0.579	294.870	28.85220										
0.97333	15.625	-0.520	294.855	28.85403										
0.97667	15.656	-0.461	294.855	28.85403										
0.98000	15.656	-0.402	294.870	28.85464										
0.98333	15.641	-0.483	294.855	28.85525										
0.98667	15.671	-0.568	294.824	28.85525										
0.99000	15.656	-0.652	294.809	28.85403										
0.99333	15.625	-0.737	294.824	28.85281										
0.99667	15.656	-0.821	294.839	28.85159										
1.00000	15.671	-0.788	294.855	28.85159										
1.00333	15.625	-0.754	294.855	28.85159										
1.00667	15.641	-0.720	294.870	28.85098										
1.01000	15.687	-0.686	294.885	28.85098										
1.01333	15.641	-0.654	294.870	28.85220										
1.01667	15.656	-0.713	294.839	28.85342										
1.02000	15.687	-0.772	294.824	28.85220										
1.02333	15.671	-0.831	294.824	28.85098										
1.02667	15.610	-0.890	294.824	28.85037										
1.03000	15.610	-0.947	294.824	28.84976										
1.03333	15.625	-0.922	294.824	28.84854										
1.03667	15.564	-0.896	294.824	28.84793										
1.04000	15.595	-0.871	294.839	28.84793										
1.04333	15.610	-0.846	294.855	28.84915										
1.04667	15.656	-0.820	294.839	28.85098										
1.05000	15.610	-0.795	294.824	28.85220										
1.05333	15.641	-0.770	294.839	28.85220										
1.05667	15.656	-0.744	294.855	28.85220										
1.06000	15.641	-0.719	294.855	28.85281										
1.06333	15.641	-0.697	294.855	28.85159										
1.06667	15.656	-0.731	294.870	28.84976										
1.07000	15.687	-0.765	294.885	28.84793										
1.07333	15.625	-0.799	294.900	28.84793										
1.07667	15.641	-0.832	294.885	28.84793										
