p1 mw,p1 WF,p2 mw,p2 WF
221243.0313,0.006161731726214135,777390656,0.02794997643056201
220707.3281,0.006247822737536236,774917568,0.02836096512026059
220172.6719,0.0063367698781944485,772455808,0.02879965126415811
219639.5625,0.006426738340448444,770006912,0.029197084428631552
219107.7344,0.006514351408191498,767567488,0.029605580216781786
218576.9531,0.00659204099856602,765139136,0.030015595331068196
218047.7031,0.006664017942101791,762721856,0.030422091054933417
217519.5,0.006741724445446599,760315520,0.030807600945386412
216992.5625,0.006823191062526174,757918400,0.03125497473744823
216467.1563,0.0068959554295965385,755533888,0.031627513247923386
215942.7656,0.006972047326528898,753156800,0.032036989870954484
215419.6563,0.0070608205131288,750790528,0.03241429543253645
214898.0469,0.007140667144916853,748431744,0.03285056320543085
214377.2344,0.007232688564501673,746083584,0.03323494336123407
213858.1563,0.0073036632066016864,743742784,0.03366738410355634
213339.8594,0.007384118816224732,741412608,0.03405893984085637
212823.0469,0.007455311552462882,739089728,0.03449503451575288
212307.2656,0.0075435708065755575,736774144,0.03495429544581321
211792.9531,0.007635734350563135,734467392,0.03541434475417334
211279.6719,0.007736221238573174,732167872,0.03588330304383207
210767.625,0.007842645965462382,729875584,0.036364641147431105
210256.8125,0.007951333093252149,727590400,0.03682068080925115
209747.25,0.008055278101435729,725310848,0.037348935407103594
209238.6875,0.00816466842062283,723040000,0.0378365140726321
208731.5938,0.008269060430293197,720773120,0.03836513406374198
208225.5,0.008385823861834531,718513344,0.03889147990529339
207720.625,0.00849717835912155,716260608,0.039360413996723145
207216.75,0.00860497802731641,714011840,0.03987414675340698
206714.3125,0.008701220203403736,711770112,0.04032198450617889
206212.8906,0.00880275320021519,709532288,0.04080937071512634
205712.6719,0.008898046808205138,707299968,0.04124388137395457
205213.4375,0.009000620923105464,705070080,0.04175570537433737
204715.6406,0.00909970808260422,702847168,0.0422114230383906
204218.6094,0.009213118365292506,700628160,0.04271651154240076
203723,0.009323444886700349,698414656,0.04314560857344414
203228.375,0.009436818016306366,696203584,0.04360177325944718
202734.9531,0.009544086395424823,693996416,0.044051952271532566
202242.7344,0.009639375012702229,691793216,0.044497789960019456
201751.4844,0.009748511692787412,689592512,0.04498089727679915
201261.4219,0.009866666645890514,687395776,0.04545867291712945
200772.5469,0.009981543643542883,685201472,0.045978146139010724
200284.6563,0.01011089747833111,683011200,0.046440089684734516
199797.9375,0.010239949707724644,680821952,0.04697745749693806
199312.1875,0.010378395400814621,678636736,0.0474147565983511
198827.6094,0.01050962496718603,676451136,0.04797447066839948
198344.2188,0.0106365015786249,674269632,0.048494612245364874
197861.7813,0.010764005300821002,672090688,0.04895650771727378
197380.5313,0.010888624446619498,669911424,0.04948619743142559
196900.2188,0.01101446565156274,667734848,0.05001553627125736
196421.0781,0.011134826832324104,665560960,0.050452171857232095
195942.8906,0.011263972443494558,663386816,0.050916404071451725
195465.875,0.011380193051868277,661214016,0.051349616414635035
194989.7969,0.011501449899174062,659041088,0.05182789199037582
194514.875,0.011622408523679208,656869568,0.05229085492682529
194040.9063,0.011757868772525845,654697984,0.05282126106987609
193568.0938,0.011890985604571644,652527808,0.05331623390756976
193096.2188,0.01203485182145951,650357760,0.053801836545720697
192625.4844,0.01217273644755491,648187776,0.05426236675355119
192155.6875,0.01231250589942079,646017920,0.05470328607133946
191686.8438,0.012462608233440826,643846848,0.055211249486272616
191219.3438,0.012604007929285121,641677440,0.055619788508591936
190752.5625,0.012756543790193585,639505536,0.05613415122583659
190286.9219,0.012909683638224496,637333952,0.05665973982414282
189822.2031,0.013072977090924542,635162816,0.05709470234456666
