Molecular weight (g/mol),WF / dLog MW
"210608_P-SS065, Injection 1","210608_P-SS065, Injection 1"
87571.59375,8.084813118
87509.98438,8.115162849
87448.80469,8.168948174
87388.23438,8.200439453
87328.10156,8.242612839
87268.47656,8.286995888
87209.38281,8.329922676
87150.79688,8.375814438
87092.73438,8.408531189
87035.09375,8.454381943
86977.96875,8.517046928
86921.45313,8.536434174
86865.25781,8.599832535
86809.67188,8.633900642
86754.5,8.700464249
86699.9375,8.73679924
86645.78906,8.790126801
86592.15625,8.843292236
86539.02344,8.882104874
86486.30469,8.93762207
86434.09375,9.00987339
86382.48438,9.033412933
86331.1875,9.109324455
86280.49219,9.150266647
86230.20313,9.227545738
86180.51563,9.250360489
86131.13281,9.329789162
86082.35156,9.387846947
86034.0625,9.433607101
85986.1875,9.494465828
85938.80469,9.539635658
85891.82813,9.625501633
85845.44531,9.671636581
85799.46094,9.73958683
85753.96875,9.810342789
85708.97656,9.860440254
85664.38281,9.932961464
85620.28125,9.98567009
85576.57813,10.0843811
85533.46094,10.14104557
85490.74219,10.22301197
85448.51563,10.30316162
85406.77344,10.36476612
85365.42969,10.45225334
85324.57813,10.53993797
85284.21094,10.6299324
85244.32813,10.69950771
85204.84375,10.76249409
85165.74219,10.88608551
85127.22656,10.95567322
85089.10156,11.05380249
85051.46094,11.12551975
85014.21094,11.22810936
84977.4375,11.33513069
84941.15625,11.41190052
84905.25781,11.49035549
84869.74219,11.60542774
84834.71875,11.6859026
84800.07031,11.77288914
84765.8125,11.89517212
84732.03906,11.98344421
84698.64844,12.07644844
84665.64063,12.17120838
84633.01563,12.27266788
84600.78125,12.37037754
84568.92188,12.47529411
84537.45313,12.58223438
84506.36719,12.68816376
84475.65625,12.80219078
84445.33594,12.87273598
84415.29688,12.99390602
84385.64844,13.10942841
84356.375,13.18861866
84327.39063,13.30971146
84298.78125,13.39788818
84270.46875,13.52036667
84242.52344,13.61287785
84214.875,13.74792671
84187.60156,13.83992004
84160.61719,13.92963219
84133.91406,14.07529449
84107.59375,14.12232494
84081.46094,14.27643776
84055.71094,14.37520885
84030.24219,14.48169899
84005.05469,14.59290791
83980.15625,14.70769787
83955.54688,14.75868607
83931.11719,14.87858582
83906.97656,15.05398464
83883.21094,15.1184721
83859.64063,15.2461338
83836.35156,15.3082037
83813.25,15.43392563
83790.42969,15.49648476
83767.79688,15.70079422
83745.54688,15.70280743
83723.39063,15.84102726
83701.51563,15.91267967
83679.82813,15.99145794
83658.32813,16.14297485
83637.11719,16.21317863
83616.08594,16.30178261
83595.25,16.37948418
83574.60156,16.54342651
83554.23438,16.54842377
83533.96094,16.64291191
83513.875,16.73962593
83493.98438,16.82306099
83474.27344,16.92769623
83454.75781,17.02096748
83435.42188,17.12891388
83416.28125,17.143013
83397.23438,17.16085625
83378.28125,17.27112961
83359.51563,17.37440109
83340.9375,17.484478
83322.54688,17.42593956
83304.16406,17.61741257
83286.05469,17.545681
83267.94531,17.57591057
83249.9375,17.78676224
83232.21094,17.71848106
83214.48438,17.73929405
83196.85156,17.8610096
83179.40625,17.78559685
83161.96094,17.82471275
83144.61719,17.93834877
83127.45313,17.87574959
83110.29688,17.90617943
